model,index,name,type,input_shape,output_shape,params,flops,bytes_moved,intensity,time_ms,perf_gflops
fc_tiny,1,net.1,Linear,1x9216,1x128,1179776,2359296.0,4756480,0.4960172228202368,39.63733333333333,0.05952206673842842
fc_tiny,2,net.2,ReLU,1x128,1x128,0,128.0,1024,0.125,0.008533333333333334,0.015
fc_tiny,3,net.3,Linear,1x128,1x4,516,1024.0,2592,0.3950617283950617,0.0216,0.04740740740740741
fc_small,1,net.1,Linear,1x9216,1x256,2359552,4718592.0,9476096,0.4979468338015993,78.96746666666667,0.05975362005619191
fc_small,2,net.2,ReLU,1x256,1x256,0,256.0,2048,0.125,0.017066666666666667,0.015
fc_small,3,net.4,Linear,1x256,1x64,16448,32768.0,67072,0.48854961832061067,0.5589333333333333,0.05862595419847328
fc_small,4,net.5,ReLU,1x64,1x64,0,64.0,512,0.125,0.004266666666666667,0.015
fc_small,5,net.6,Linear,1x64,1x4,260,512.0,1312,0.3902439024390244,0.010933333333333333,0.046829268292682934
cnn_tiny,1,features.0,Conv2d,1x1x96x96,1x4x96x96,40,663552.0,184480,3.596877710320902,11.0592,0.06
cnn_tiny,2,features.1,ReLU,1x4x96x96,1x4x96x96,0,36864.0,294912,0.125,2.4576,0.015
cnn_tiny,3,features.2,MaxPool2d,1x4x96x96,1x4x48x48,0,27648,184320,0.15,1.536,0.018
cnn_tiny,4,features.3,Conv2d,1x4x48x48,1x8x48x48,296,1327104.0,111776,11.87288863441168,22.1184,0.06
cnn_tiny,5,features.4,ReLU,1x8x48x48,1x8x48x48,0,18432.0,147456,0.125,1.2288,0.015
cnn_tiny,6,features.5,MaxPool2d,1x8x48x48,1x8x24x24,0,13824,92160,0.15,0.768,0.018
cnn_tiny,7,classifier.1,Linear,1x4608,1x64,294976,589824.0,1198592,0.49209739427595045,9.988266666666668,0.059051687313114054
cnn_tiny,8,classifier.2,ReLU,1x64,1x64,0,64.0,512,0.125,0.004266666666666667,0.015
cnn_tiny,9,classifier.3,Linear,1x64,1x4,260,512.0,1312,0.3902439024390244,0.010933333333333333,0.046829268292682934
cnn_gap,1,features.0,Conv2d,1x1x96x96,1x4x96x96,40,663552.0,184480,3.596877710320902,11.0592,0.06
cnn_gap,2,features.1,ReLU,1x4x96x96,1x4x96x96,0,36864.0,294912,0.125,2.4576,0.015
cnn_gap,3,features.2,MaxPool2d,1x4x96x96,1x4x48x48,0,27648,184320,0.15,1.536,0.018
cnn_gap,4,features.3,Conv2d,1x4x48x48,1x8x48x48,296,1327104.0,111776,11.87288863441168,22.1184,0.06
cnn_gap,5,features.4,ReLU,1x8x48x48,1x8x48x48,0,18432.0,147456,0.125,1.2288,0.015
cnn_gap,6,features.5,MaxPool2d,1x8x48x48,1x8x24x24,0,13824,92160,0.15,0.768,0.018
cnn_gap,7,features.6,Conv2d,1x8x24x24,1x16x24x24,1168,1327104.0,59968,22.130202774813235,22.1184,0.06
cnn_gap,8,features.7,ReLU,1x16x24x24,1x16x24x24,0,9216.0,73728,0.125,0.6144,0.015
cnn_gap,9,features.8,AdaptiveAvgPool2d,1x16x24x24,1x16x1x1,0,9216,36928,0.24956672443674177,0.30773333333333336,0.02994800693240901
cnn_gap,10,classifier,Linear,1x16,1x4,68,128.0,352,0.36363636363636365,0.0029333333333333334,0.04363636363636363
cnn_skip_pool,1,skip_pool,MaxPool2d,1x1x96x96,1x1x12x12,0,9072,37440,0.2423076923076923,0.312,0.029076923076923077
cnn_skip_pool,2,conv.0,Conv2d,1x1x96x96,1x4x48x48,40,165888.0,73888,2.24512776093547,2.7648,0.06
cnn_skip_pool,3,conv.1,ReLU,1x4x48x48,1x4x48x48,0,9216.0,73728,0.125,0.6144,0.015
cnn_skip_pool,4,conv.2,MaxPool2d,1x4x48x48,1x4x48x48,0,73728,73728,1.0,1.2288,0.06
cnn_skip_pool,5,conv.3,Conv2d,1x4x48x48,1x8x24x24,296,331776.0,56480,5.874220963172805,5.5296,0.06
cnn_skip_pool,6,conv.4,ReLU,1x8x24x24,1x8x24x24,0,4608.0,36864,0.125,0.3072,0.015
cnn_skip_pool,7,conv.5,MaxPool2d,1x8x24x24,1x8x24x24,0,36864,36864,1.0,0.6144,0.06
cnn_skip_pool,8,conv.6,Conv2d,1x8x24x24,1x12x12x12,876,248832.0,28848,8.625623960066555,4.1472,0.06
cnn_skip_pool,9,conv.7,ReLU,1x12x12x12,1x12x12x12,0,1728.0,13824,0.125,0.1152,0.015
cnn_skip_pool,10,conv.8,MaxPool2d,1x12x12x12,1x12x12x12,0,13824,13824,1.0,0.2304,0.06
cnn_skip_pool,11,conv.9,Conv2d,1x12x12x12,1x12x12x12,1308,373248.0,19056,19.58690176322418,6.2208000000000006,0.06
cnn_skip_pool,12,conv.10,ReLU,1x12x12x12,1x12x12x12,0,1728.0,13824,0.125,0.1152,0.015
cnn_skip_pool,13,conv.11,Conv2d,1x12x12x12,1x16x12x12,1744,497664.0,23104,21.54016620498615,8.2944,0.06
cnn_skip_pool,14,conv.12,ReLU,1x16x12x12,1x16x12x12,0,2304.0,18432,0.125,0.1536,0.015
cnn_skip_pool,15,classifier.1,Linear,1x2448,1x4,9796,19584.0,48992,0.3997387328543436,0.40826666666666667,0.04796864794252123
