probability,image
0.66058129,dataset_grupo_4_reescalado/esp/capture_20260422_195853_329511.jpg
0.58415186,dataset_grupo_6_reescalado/esp/esp_32_147.jpg
0.57569146,dataset_grupo_4_reescalado/esp/capture_20260422_202307_733308.jpg
0.53012699,dataset_grupo_4_reescalado/esp/capture_20260422_195647_873317.jpg
0.52950603,dataset_grupo_4_reescalado/esp/capture_20260422_202925_012013.jpg
0.52383518,dataset_grupo_6_reescalado/esp/esp_32_146.jpg
0.51922619,dataset_grupo_8_reescalado/esp/esp_0288.png
0.49585825,dataset_grupo_4_reescalado/esp/capture_20260422_202955_167677.jpg
0.49397147,dataset_grupo_4_reescalado/esp/capture_20260422_195803_898789.jpg
0.47347280,dataset_grupo_4_reescalado/esp/capture_20260422_202957_744539.jpg
0.46708182,dataset_grupo_4_reescalado/esp/capture_20260422_202916_011088.jpg
0.46585366,dataset_grupo_4_reescalado/esp/capture_20260422_195747_909354.jpg
0.44378141,dataset_grupo_8_reescalado/esp/esp_0004.png
0.43527400,dataset_grupo_4_reescalado/esp/capture_20260422_195836_642350.jpg
0.43363234,dataset_grupo_4_reescalado/esp/capture_20260422_202956_844618.jpg
0.41382027,dataset_grupo_6_reescalado/esp/esp_32_70.jpg
0.41357461,dataset_grupo_6_reescalado/esp/esp_32_73.jpg
0.40958828,dataset_grupo_4_reescalado/esp/capture_20260422_201214_208238.jpg
0.38787547,dataset_grupo_6_reescalado/esp/esp_32_98.jpg
0.37501082,dataset_grupo_4_reescalado/esp/capture_20260422_202331_869845.jpg
0.37263790,dataset_grupo_8_reescalado/esp/esp_0032.png
0.36407182,dataset_grupo_8_reescalado/esp/esp_0082.png
0.36226010,dataset_grupo_4_reescalado/esp/capture_20260422_200805_088052.jpg
0.35832691,dataset_grupo_6_reescalado/esp/esp_32_100.jpg
0.35615328,dataset_grupo_4_reescalado/esp/capture_20260422_202949_994447.jpg
0.35537741,dataset_grupo_8_reescalado/esp/esp_0384.png
0.35508400,dataset_grupo_4_reescalado/esp/capture_20260422_202910_826332.jpg
0.35294381,dataset_grupo_6_reescalado/esp/esp_32_71.jpg
0.34352908,dataset_grupo_4_reescalado/esp/capture_20260422_200810_835366.jpg
0.33977839,dataset_grupo_8_reescalado/esp/esp_0473.png
0.33689770,dataset_grupo_8_reescalado/esp/esp_0485.png
0.33390227,dataset_grupo_8_reescalado/esp/esp_0103.png
0.33363396,dataset_grupo_8_reescalado/esp/esp_0003.png
0.33066088,dataset_grupo_6_reescalado/esp/esp_32_131.jpg
0.32608923,dataset_grupo_6_reescalado/esp/esp_32_62.jpg
0.32009733,dataset_grupo_4_reescalado/esp/capture_20260422_202954_882298.jpg
0.31969342,dataset_grupo_4_reescalado/esp/capture_20260422_200655_747592.jpg
0.31788376,dataset_grupo_8_reescalado/esp/esp_0464.png
0.31653035,dataset_grupo_4_reescalado/esp/capture_20260422_202929_013696.jpg
0.31535539,dataset_grupo_8_reescalado/esp/esp_0254.png
0.31490898,dataset_grupo_6_reescalado/esp/esp_32_105.jpg
0.31440082,dataset_grupo_4_reescalado/esp/capture_20260422_202332_133549.jpg
0.31253347,dataset_grupo_8_reescalado/esp/esp_0200.png
0.31107759,dataset_grupo_6_reescalado/esp/esp_32_81.jpg
0.31001568,dataset_grupo_8_reescalado/esp/esp_0093.png
0.30985764,dataset_grupo_8_reescalado/esp/esp_0250.png
0.30800465,dataset_grupo_4_reescalado/esp/capture_20260422_200717_135158.jpg
0.30781907,dataset_grupo_8_reescalado/esp/esp_0043.png
0.30618379,dataset_grupo_4_reescalado/esp/capture_20260422_202911_714612.jpg
0.30530143,dataset_grupo_6_reescalado/esp/esp_32_115.jpg
0.30519453,dataset_grupo_8_reescalado/esp/esp_0070.png
0.30460638,dataset_grupo_4_reescalado/esp/capture_20260422_202928_652891.jpg
0.30276835,dataset_grupo_6_reescalado/esp/esp_32_83.jpg
0.29734620,dataset_grupo_8_reescalado/esp/esp_0105.png
0.29707310,dataset_grupo_4_reescalado/esp/capture_20260422_202929_925885.jpg
0.29557994,dataset_grupo_8_reescalado/esp/esp_0251.png
0.29290086,dataset_grupo_8_reescalado/esp/esp_0248.png
0.29082903,dataset_grupo_4_reescalado/esp/capture_20260422_195631_483458.jpg
0.29059330,dataset_grupo_8_reescalado/esp/esp_0373.png
0.28997916,dataset_grupo_8_reescalado/esp/esp_0078.png
0.28635404,dataset_grupo_4_reescalado/esp/capture_20260422_202956_545595.jpg
0.28488514,dataset_grupo_4_reescalado/esp/capture_20260422_200728_366184.jpg
0.28325847,dataset_grupo_6_reescalado/esp/esp_32_92.jpg
0.28256699,dataset_grupo_6_reescalado/esp/esp_32_10.jpg
0.28085539,dataset_grupo_6_reescalado/esp/esp_32_116.jpg
0.27995911,dataset_grupo_8_reescalado/esp/esp_0038.png
0.27989164,dataset_grupo_8_reescalado/esp/esp_0001.png
0.27977043,dataset_grupo_8_reescalado/esp/esp_0309.png
0.27777043,dataset_grupo_4_reescalado/esp/capture_20260422_203000_729742.jpg
0.27649593,dataset_grupo_8_reescalado/esp/esp_0104.png
0.27631173,dataset_grupo_8_reescalado/esp/esp_0036.png
0.27572185,dataset_grupo_8_reescalado/esp/esp_0058.png
0.27357167,dataset_grupo_6_reescalado/esp/esp_32_11.jpg
0.27324334,dataset_grupo_4_reescalado/esp/capture_20260422_202332_419996.jpg
0.27290511,dataset_grupo_6_reescalado/esp/esp_32_72.jpg
0.27221876,dataset_grupo_8_reescalado/esp/esp_0094.png
0.27099386,dataset_grupo_8_reescalado/esp/esp_0492.png
0.26828668,dataset_grupo_8_reescalado/esp/esp_0088.png
0.26827177,dataset_grupo_8_reescalado/esp/esp_0059.png
0.26617086,dataset_grupo_8_reescalado/esp/esp_0095.png
0.26236749,dataset_grupo_6_reescalado/esp/esp_32_109.jpg
0.26217043,dataset_grupo_8_reescalado/esp/esp_0364.png
0.25964099,dataset_grupo_8_reescalado/esp/esp_0183.png
0.25956869,dataset_grupo_8_reescalado/esp/esp_0111.png
0.25936475,dataset_grupo_8_reescalado/esp/esp_0374.png
0.25924018,dataset_grupo_8_reescalado/esp/esp_0280.png
0.25830927,dataset_grupo_8_reescalado/esp/esp_0076.png
0.25717589,dataset_grupo_8_reescalado/esp/esp_0198.png
0.25578845,dataset_grupo_8_reescalado/esp/esp_0029.png
0.25327328,dataset_grupo_4_reescalado/esp/capture_20260422_195615_013726.jpg
0.25202990,dataset_grupo_8_reescalado/esp/esp_0047.png
0.25175720,dataset_grupo_8_reescalado/esp/esp_0061.png
0.25154847,dataset_grupo_8_reescalado/esp/esp_0305.png
0.25052822,dataset_grupo_8_reescalado/esp/esp_0310.png
0.25015599,dataset_grupo_8_reescalado/esp/esp_0049.png
0.25006625,dataset_grupo_8_reescalado/esp/esp_0344.png
0.24898005,dataset_grupo_8_reescalado/esp/esp_0046.png
0.24795631,dataset_grupo_8_reescalado/esp/esp_0119.png
0.24743579,dataset_grupo_8_reescalado/esp/esp_0455.png
0.24677648,dataset_grupo_6_reescalado/esp/esp_32_61.jpg
0.24636213,dataset_grupo_8_reescalado/esp/esp_0024.png
0.24602082,dataset_grupo_8_reescalado/esp/esp_0166.png
0.24558936,dataset_grupo_6_reescalado/esp/esp_32_69.jpg
0.24471596,dataset_grupo_8_reescalado/esp/esp_0065.png
0.24299558,dataset_grupo_8_reescalado/esp/esp_0331.png
0.24267879,dataset_grupo_4_reescalado/esp/capture_20260422_201054_680105.jpg
0.24061207,dataset_grupo_4_reescalado/esp/capture_20260422_200734_199506.jpg
0.23959248,dataset_grupo_8_reescalado/esp/esp_0025.png
0.23930164,dataset_grupo_8_reescalado/esp/esp_0181.png
0.23895830,dataset_grupo_8_reescalado/esp/esp_0282.png
0.23772110,dataset_grupo_8_reescalado/esp/esp_0245.png
0.23524916,dataset_grupo_8_reescalado/esp/esp_0284.png
0.23439389,dataset_grupo_8_reescalado/esp/esp_0195.png
0.23425293,dataset_grupo_6_reescalado/esp/esp_32_103.jpg
0.23329821,dataset_grupo_8_reescalado/esp/esp_0307.png
0.23236842,dataset_grupo_8_reescalado/esp/esp_0050.png
0.23150752,dataset_grupo_8_reescalado/esp/esp_0249.png
0.23117632,dataset_grupo_8_reescalado/esp/esp_0334.png
0.22940288,dataset_grupo_6_reescalado/esp/esp_32_89.jpg
0.22898753,dataset_grupo_8_reescalado/esp/esp_0161.png
0.22876443,dataset_grupo_4_reescalado/esp/capture_20260422_200701_051475.jpg
0.22807628,dataset_grupo_8_reescalado/esp/esp_0005.png
0.22778556,dataset_grupo_8_reescalado/esp/esp_0014.png
0.22769877,dataset_grupo_8_reescalado/esp/esp_0278.png
0.22746105,dataset_grupo_4_reescalado/esp/capture_20260422_200711_890038.jpg
0.22626735,dataset_grupo_8_reescalado/esp/esp_0034.png
0.22596966,dataset_grupo_8_reescalado/esp/esp_0199.png
0.22507972,dataset_grupo_8_reescalado/esp/esp_0471.png
0.22480957,dataset_grupo_8_reescalado/esp/esp_0252.png
0.22392444,dataset_grupo_8_reescalado/esp/esp_0015.png
0.22235860,dataset_grupo_8_reescalado/esp/esp_0081.png
0.22182032,dataset_grupo_8_reescalado/esp/esp_0300.png
0.22180706,dataset_grupo_8_reescalado/esp/esp_0044.png
0.22150055,dataset_grupo_8_reescalado/esp/esp_0380.png
0.22053070,dataset_grupo_8_reescalado/esp/esp_0062.png
0.22038764,dataset_grupo_8_reescalado/esp/esp_0053.png
0.22014472,dataset_grupo_8_reescalado/esp/esp_0165.png
0.21985212,dataset_grupo_8_reescalado/esp/esp_0120.png
0.21925698,dataset_grupo_8_reescalado/esp/esp_0191.png
0.21867646,dataset_grupo_8_reescalado/esp/esp_0335.png
0.21826044,dataset_grupo_4_reescalado/esp/capture_20260422_195658_913881.jpg
0.21807133,dataset_grupo_8_reescalado/esp/esp_0106.png
0.21743920,dataset_grupo_8_reescalado/esp/esp_0069.png
0.21702866,dataset_grupo_8_reescalado/esp/esp_0115.png
0.21670678,dataset_grupo_3_reescalado/esp/esp_010.jpg
0.21644165,dataset_grupo_8_reescalado/esp/esp_0516.png
0.21632567,dataset_grupo_8_reescalado/esp/esp_0182.png
0.21559471,dataset_grupo_6_reescalado/esp/esp_32_165.jpg
0.21534982,dataset_grupo_8_reescalado/esp/esp_0162.png
0.21478540,dataset_grupo_8_reescalado/esp/esp_0190.png
0.21445923,dataset_grupo_8_reescalado/esp/esp_0512.png
0.21411750,dataset_grupo_4_reescalado/esp/capture_20260422_200706_373461.jpg
0.21391147,dataset_grupo_4_reescalado/esp/capture_20260422_200904_457902.jpg
0.21344739,dataset_grupo_6_reescalado/esp/esp_32_17.jpg
0.21337314,dataset_grupo_8_reescalado/esp/esp_0167.png
0.21206041,dataset_grupo_8_reescalado/esp/esp_0027.png
0.21158756,dataset_grupo_6_reescalado/esp/esp_32_102.jpg
0.21145099,dataset_grupo_8_reescalado/esp/esp_0164.png
0.21108136,dataset_grupo_8_reescalado/esp/esp_0327.png
0.21070157,dataset_grupo_8_reescalado/esp/esp_0073.png
0.21022458,dataset_grupo_8_reescalado/esp/esp_0255.png
0.21013589,dataset_grupo_8_reescalado/esp/esp_0194.png
0.20993565,dataset_grupo_8_reescalado/esp/esp_0258.png
0.20956282,dataset_grupo_8_reescalado/esp/esp_0253.png
0.20952839,dataset_grupo_4_reescalado/esp/capture_20260422_195620_260364.jpg
0.20944533,dataset_grupo_8_reescalado/esp/esp_0296.png
0.20791362,dataset_grupo_8_reescalado/esp/esp_0060.png
0.20755328,dataset_grupo_8_reescalado/esp/esp_0016.png
0.20714228,dataset_grupo_8_reescalado/esp/esp_0026.png
0.20586194,dataset_grupo_8_reescalado/esp/esp_0197.png
0.20572869,dataset_grupo_8_reescalado/esp/esp_0072.png
0.20438315,dataset_grupo_8_reescalado/esp/esp_0071.png
0.20432378,dataset_grupo_8_reescalado/esp/esp_0084.png
0.20324202,dataset_grupo_8_reescalado/esp/esp_0188.png
0.20309089,dataset_grupo_6_reescalado/esp/esp_32_120.jpg
0.20266232,dataset_grupo_8_reescalado/esp/esp_0511.png
0.20264453,dataset_grupo_8_reescalado/esp/esp_0262.png
0.20188795,dataset_grupo_6_reescalado/esp/esp_32_88.jpg
0.20157647,dataset_grupo_4_reescalado/esp/capture_20260422_202835_699396.jpg
0.20146585,dataset_grupo_8_reescalado/esp/esp_0393.png
0.20138252,dataset_grupo_8_reescalado/esp/esp_0075.png
0.20127465,dataset_grupo_8_reescalado/esp/esp_0196.png
0.20126796,dataset_grupo_4_reescalado/esp/capture_20260422_202836_797182.jpg
