probability,image
0.71090275,dataset_grupo_6_reescalado/esp/esp_32_170.jpg
0.64723200,dataset_grupo_3_reescalado/esp/esp_010.jpg
0.58426380,dataset_grupo_6_reescalado/esp/esp_32_69.jpg
0.50413650,dataset_grupo_6_reescalado/esp/esp_32_8.jpg
0.47383982,dataset_grupo_4_reescalado/esp/capture_20260422_202925_012013.jpg
0.46418443,dataset_grupo_6_reescalado/esp/esp_32_109.jpg
0.45324412,dataset_grupo_8_reescalado/esp/esp_0248.png
0.45126227,dataset_grupo_8_reescalado/esp/esp_0373.png
0.43596914,dataset_grupo_6_reescalado/esp/esp_32_17.jpg
0.42785317,dataset_grupo_8_reescalado/esp/esp_0164.png
0.42660663,dataset_grupo_8_reescalado/esp/esp_0200.png
0.41337484,dataset_grupo_8_reescalado/esp/esp_0032.png
0.41296431,dataset_grupo_8_reescalado/esp/esp_0043.png
0.41054118,dataset_grupo_6_reescalado/esp/esp_32_10.jpg
0.40475351,dataset_grupo_4_reescalado/esp/capture_20260422_200734_199506.jpg
0.40465078,dataset_grupo_4_reescalado/esp/capture_20260422_202307_733308.jpg
0.40464419,dataset_grupo_8_reescalado/esp/esp_0095.png
0.40418631,dataset_grupo_8_reescalado/esp/esp_0058.png
0.39863324,dataset_grupo_8_reescalado/esp/esp_0250.png
0.39555594,dataset_grupo_8_reescalado/esp/esp_0184.png
0.38517883,dataset_grupo_8_reescalado/esp/esp_0249.png
0.38035351,dataset_grupo_6_reescalado/esp/esp_32_12.jpg
0.37920800,dataset_grupo_4_reescalado/esp/capture_20260422_202929_925885.jpg
0.37846553,dataset_grupo_8_reescalado/esp/esp_0384.png
0.37552968,dataset_grupo_8_reescalado/esp/esp_0041.png
0.37367266,dataset_grupo_4_reescalado/esp/capture_20260422_195747_909354.jpg
0.36495581,dataset_grupo_8_reescalado/esp/esp_0044.png
0.36449885,dataset_grupo_8_reescalado/esp/esp_0473.png
0.36040595,dataset_grupo_8_reescalado/esp/esp_0082.png
0.35721594,dataset_grupo_4_reescalado/esp/capture_20260422_195658_913881.jpg
0.35311520,dataset_grupo_4_reescalado/esp/capture_20260422_202928_652891.jpg
0.35078532,dataset_grupo_8_reescalado/esp/esp_0310.png
0.34857106,dataset_grupo_8_reescalado/esp/esp_0024.png
0.34737912,dataset_grupo_4_reescalado/esp/capture_20260422_195853_329511.jpg
0.34561259,dataset_grupo_4_reescalado/esp/capture_20260422_200655_747592.jpg
0.34330800,dataset_grupo_6_reescalado/esp/esp_32_9.jpg
0.34220117,dataset_grupo_8_reescalado/esp/esp_0254.png
0.33430013,dataset_grupo_8_reescalado/esp/esp_0039.png
0.33390504,dataset_grupo_4_reescalado/esp/capture_20260422_202956_545595.jpg
0.33135942,dataset_grupo_8_reescalado/esp/esp_0251.png
0.32111284,dataset_grupo_8_reescalado/esp/esp_0120.png
0.32096839,dataset_grupo_4_reescalado/esp/capture_20260422_202955_167677.jpg
0.32076705,dataset_grupo_6_reescalado/esp/esp_32_90.jpg
0.32039493,dataset_grupo_8_reescalado/esp/esp_0545.png
0.31952533,dataset_grupo_8_reescalado/esp/esp_0118.png
0.31833503,dataset_grupo_8_reescalado/esp/esp_0280.png
0.31569636,dataset_grupo_8_reescalado/esp/esp_0065.png
0.31539598,dataset_grupo_8_reescalado/esp/esp_0030.png
0.31405491,dataset_grupo_4_reescalado/esp/capture_20260422_200650_644410.jpg
0.31128263,dataset_grupo_8_reescalado/esp/esp_0042.png
0.30874583,dataset_grupo_4_reescalado/esp/capture_20260422_202954_882298.jpg
0.30834353,dataset_grupo_8_reescalado/esp/esp_0005.png
0.30833116,dataset_grupo_4_reescalado/esp/capture_20260422_201054_680105.jpg
0.30725688,dataset_grupo_8_reescalado/esp/esp_0185.png
0.30657864,dataset_grupo_8_reescalado/esp/esp_0088.png
0.30515277,dataset_grupo_8_reescalado/esp/esp_0247.png
